"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"NSUN5P1",150.748726307849,1.64475470272178,0.504380580214201,3.26093978880647,0.00111043617361006,0.0242257266781726,"Up"
"PRMT1P1",636.313225098158,2.88446669002355,0.746351446868695,3.86475661315494,0.000111200027022051,0.00504920447900941,"Up"
"CDK2AP2P2",439.098693090356,3.0368401632445,0.42975627158133,7.06642430620071,1.58976824541084e-12,2.21971391265489e-09,"Up"
"HLA-H",14244.8154009987,1.34837015152975,0.398200700226194,3.38615715834708,0.000708787795497183,0.0175936881682301,"Up"
"BCAT1",2088.22500631581,1.97186197821068,0.486514085516278,4.05304190960511,5.05559413372829e-05,0.00288853114039636,"Up"
"XRCC6",16398.1494973596,1.41723006783602,0.389171616321938,3.64165835430206,0.000270887416519391,0.0092816332592687,"Up"
"TOMM40P3",60.3560610375955,1.87719667324461,0.589600130733886,3.18384711161449,0.00145331750793772,0.0282814574279866,"Up"
"BOLA3P2",1778.76222205521,2.13974017990072,0.714194577323398,2.99601851909864,0.00273529821397603,0.043950850957028,"Up"
"SRP54-AS1",626.697535545974,2.35001841381362,0.800444899331215,2.93589029772955,0.0033259191929083,0.0495404916509827,"Up"
"SF3A3P1",3085.93297275498,1.88356565688052,0.57371877703091,3.28308176808904,0.00102678878228433,0.0228470731038168,"Up"
"RBM14",390.492655951421,2.86494042176666,0.644951277574508,4.44210364624898,8.90836280417559e-06,0.000843274682395265,"Up"
"TPI1P3",2328.93289722694,2.71949743711808,0.778740797882839,3.49217280578028,0.000479108177209791,0.0133109962332745,"Up"
"CCT7",412.433605974479,2.96545076204377,0.772866824426717,3.83694922374683,0.000124572216206486,0.00535181405779404,"Up"
"ANXA2P2",12214.6232001097,3.32506870081114,0.597823848574882,5.56195392461774,2.6677073468241e-08,1.14608811784712e-05,"Up"
"FAR2P3",547.149453061472,4.99717735308619,1.2413017331541,4.02575555935827,5.67926622395197e-05,0.00314046553076948,"Up"
"SLC17A3",593.017045691578,3.79401701162494,0.698637270829708,5.43059634811515,5.61660457259028e-08,1.96054603361979e-05,"Up"
"ACO2",215.050003286628,2.66316153974483,0.72859667221175,3.65519311481407,0.000256988457438048,0.00893888108308091,"Up"
"ALG3P1",412.471553355507,1.45940031764767,0.423134454908984,3.44902264685959,0.000562619513789714,0.0148218395496017,"Up"
"MTCO1P58",21535.591087158,1.4871570717442,0.412121311695147,3.60854202280196,0.000307922642339525,0.0101135952836153,"Up"
"H2AC10P",1625.71907704007,1.89832473815347,0.605598827322333,3.13462419758465,0.00172074395846524,0.0315093606820602,"Up"
"COX6A1P3",15735.0006713743,1.60593262882771,0.394694664891164,4.06879740639651,4.72564140290253e-05,0.00278071272687238,"Up"
"JPT1P1",611.006011583728,1.63346673725332,0.484807727043134,3.36930837966613,0.000753570673862552,0.0182194468117851,"Up"
"SLC16A1-AS1",597.727875517414,1.87652744750414,0.631296085272013,2.97249973710129,0.00295385463152505,0.0458257725474095,"Up"
"DNAJC19P1",1748.44318882812,2.82814254333865,0.88039660288973,3.21235058615154,0.00131653609248633,0.0269335314158833,"Up"
