"","HGNC_Symbol","p1Pve","p1Nve","p2Pve","p2Nve","p3Pve","p3Nve","control1","control2"
"5379","PRDX2P4",1030.0721,78.59833,3006.0508,629.1962,1797.9386,174.64479,822.05505,5.726821
"5380","OR4K8P",107.82239,11.894441,94.88832,59.7366,162.49501,38.506783,154.33809,13.92589
"5381","MT1P3",5000.0024,1754.9985,7606.9814,5166.8447,5301.913,4210.364,3234.3174,760.65344
"5382","HNRNPH2",1626.4115,32.704277,3925.4685,3290.9558,3718.7705,849.3476,6010.175,27.31512
"5383","PTPN3",201.08423,54.36181,201.95924,89.02662,719.23444,100.2033,224.63866,37.33751
"5384","LINC01065",815.1115,23.063091,466.61377,157.9675,513.9128,89.98288,703.39526,47.043888
"5385","PPY2P",168.23537,24.355343,192.66345,82.54483,219.83012,67.80233,330.46307,19.651564
"5386","PDCD6-DT",58.029423,4.9999995,62.826485,40.94624,206.53307,37.224674,49.71611,4.9999995
"5387","DCAF8-DT",216.77199,4.9999995,178.30736,169.30391,340.54443,135.1892,709.2465,20.507591
"5388","PRCD",2007.3546,513.78845,2172.6992,884.7163,4938.5728,736.39246,1967.2715,258.57272
"5389","ASS1P10",49.79439,4.9999995,50.17453,10.627321,59.66363,15.127078,85.86007,4.9999995
"5390","ZNF431",855.86224,47.85358,1163.194,402.56158,832.9915,252.6143,2646.5127,82.74278
"5391","MTCO2P31",56.099686,41.840603,75.19448,61.769062,81.57713,63.643024,109.19532,20.395712
"5392","ERVMER34-1",457.52493,9.70276,783.2981,143.12439,2133.9363,87.77702,777.91,9.791848
"5393","SLC39A1P1",665.44727,87.44642,984.6988,648.3065,1142.9249,429.24854,631.0852,66.69243
"5394","BANF1P5",149.14793,19.283312,457.74426,129.86032,353.2917,121.871735,200.20058,4.9999995
"5395","POLR2M",190.96964,11.390819,94.083855,48.891838,69.23307,22.005352,693.75525,19.88824
"5396","PIGL",102.83462,4.9999995,167.96078,35.83298,77.617485,13.964351,159.96689,4.9999995
"5397","BRCA1",585.0825,38.44498,1092.8059,305.19687,2832.6536,230.42479,1284.5568,69.65561
"5398","HBAP1",90.085365,4.9999995,62.045452,40.724083,128.08354,22.79778,134.90009,6.176804
"5399","PTP4A1P7",7.0608907,4.9999995,42.094624,44.227047,65.72566,22.746296,277.1723,4.9999995
"5400","LINC02241",54.889854,4.9999995,124.06048,20.005386,171.39885,14.010219,759.8463,12.290038
"5401","CDCA5",41.2637,12.098461,70.00083,39.04082,579.0234,38.728313,36.946396,4.9999995
"5402","PGBD4P3",43.465137,4.9999995,96.82234,27.74228,195.78447,17.716993,236.02835,4.9999995
"5403","ATOSB",107.450584,9.408075,113.40008,113.861916,146.7919,50.398228,163.07227,10.628949
"5404","LY86-AS1",71.70546,4.9999995,377.03326,20.74964,395.48196,4.9999995,251.8113,4.9999995
"5405","CFAP100-DT",703.61664,81.83492,1870.7511,597.88904,2893.003,481.61053,1058.4686,108.87328
"5406","RMP64",65.998886,4.9999995,91.39364,59.770985,354.3053,18.66887,134.33507,7.83297
"5407","LINC00544",314.75723,15.679828,83.34804,60.515503,134.72672,46.95826,135.58333,14.85454
"5408","POMZP3",223.50414,23.443987,433.74695,155.53407,180.29416,70.175285,258.48608,14.349091
"5409","BOLA3P4",74.2172,10.622459,77.271545,27.160906,126.4012,29.150408,60.28638,4.9999995
"5410","LINC01341",78.05775,12.320102,80.16397,35.508045,95.16484,33.206085,80.933365,10.197491
"5411","GORAB",36.608242,6.206139,95.99425,74.49634,89.97648,15.414262,443.14603,4.9999995
"5412","FABP6-AS1",145.51405,11.889201,173.94913,75.79927,191.92175,46.567013,219.70708,13.359131
"5413","LINC00865",35.83486,4.9999995,23.077,17.823866,120.42671,10.66705,29.547653,4.9999995
"5414","LINC02829",42.42863,5.285316,52.868996,31.272127,64.63848,21.13829,64.37894,6.6894236
"5415","TTC31",54.481174,4.9999995,59.033657,31.837029,260.7607,19.869062,72.4577,6.2959003
"5416","LINC01427",24.36465,4.9999995,28.678032,21.183044,25.968012,10.565531,57.387882,12.002958
