ProbeName,[149PE+](raw),[149PE-](raw),[225PE+](raw),[225PE-](raw),[320PE+](raw),[320PE-](raw),[Control_1](raw),[Control_2](raw),GeneSymbol
ASHG19A3A031739,190.40965,16.937992,193.57129,216.581,307.80524,69.82983,269.2557,5.5725017,RP11-415D17.1
ASHG19A3A042424,15.724882,5.802391,32.03233,42.345554,213.76855,18.115988,33.017597,4.9999995,RP11-543F8.1
ASHG19A3A024964,1066.5775,84.45669,1962.2115,832.1957,1326.6151,345.68298,697.7487,36.810585,RP11-115A15.2
ASHG19A3A011899,53.346912,7.5831733,64.93619,45.284878,110.95214,29.335072,82.15409,6.198338,AC005498.1
ASHG19A3A011264,203514.67,7803.4707,178959.56,70777.72,255172.44,33592.633,262886.03,11983.235,AC006539.2
ASHG19A3A037068,1297.1669,37.025635,827.3917,251.71783,665.42834,216.22551,1131.7567,4.9999995,RP11-255J3.2
ASHG19A3A024696,4100.9336,35.29196,1603.5511,355.37793,2146.2808,246.05162,3230.9646,398.49826,AC096732.1
ASHG19A3A013176,60.656395,4.9999995,49.84644,55.31146,387.305,41.560856,31.819809,16.527016,AC012313.5
ASHG19A3A025155,112.577,15.552529,83.649574,68.193726,104.63259,73.70646,134.20126,14.534511,AK125775
ASHG19A3A025155,112.577,15.552529,83.649574,68.193726,104.63259,73.70646,134.20126,14.534511,AK125775
ASHG19A3A016564,5217.545,86.751976,2986.587,690.6602,2252.7183,474.1063,6552.6904,98.691185,
ASHG19A3H0000082,87.704,28.98178,176.7325,183.80986,4545.027,95.17135,27.833601,17.3016,nc-HOXA1-54
ASHG19A3A050314,36774.45,615.897,31085.95,7838.523,36168.582,5405.1675,79137.39,1540.6047,DHX9P1
ASHG19A3L0003505,92.68274,11.620809,72.38838,43.657173,125.38277,21.650492,98.97476,15.365692,lincRNA-GJD2-1
ASHG19A3L0000433,111.57931,14.71935,110.73559,53.219757,138.82812,47.396687,136.72505,25.77725,lincRNA-RBM19-1
ASHG19A3L0003431,31.5692,16.525274,33.053375,30.038294,33.176727,18.3287,57.91595,11.470321,lincRNA-GLI2-3
ASHG19A3A037866,504.01456,14.092419,328.19922,129.12306,452.77512,38.99593,734.7694,23.412502,RP11-272G11.1
ASHG19A3A027350,89.52665,32.122574,113.17018,61.594345,211.79158,43.338627,211.75995,25.976168,RP11-346A9.1
ASHG19A3A026739,46.98625,8.759695,35.308098,22.09452,91.23347,11.744669,112.39873,4.9999995,CTD-2122P11.1
ASHG19A3A007332,1369.5851,60.560944,4226.6655,687.3754,2617.4387,300.52127,1349.9955,37.364357,RPL23AP7
ASHG19A3A007332,1369.5851,60.560944,4226.6655,687.3754,2617.4387,300.52127,1349.9955,37.364357,RPL23AP7
ASHG19A3A041119,282956.34,47641.91,296151.88,182910.17,304790.97,155966.38,366864.56,102825.42,RP13-470G3.1
ASHG19A3H0000174,40.311893,6.0105696,26.864252,21.92532,54.57498,16.999973,61.147343,7.328615,nc-HOXD12-3
